name,median_household_income,num_bachelors,total_population,urban,region,division,life_expectancy,pct_urban,pct_bachelors
Alabama,54943.0,563628.0,2171853.0,1267224.0,South,East South Central,75.5,0.5834759534830396,0.25951480141611794
Alaska,80287.0,92691.0,306967.0,182989.0,West,Pacific,78.2,0.5961194525795932,0.3019575394097737
Arizona,65913.0,923339.0,2844526.0,2515504.0,West,Mountain,79.3,0.8843315195572127,0.32460206023780414
Arkansas,52123.0,313527.0,1316299.0,720584.0,South,West South Central,75.9,0.547431852489442,0.23818828396891586
California,84097.0,5855383.0,13680081.0,12814688.0,West,Pacific,81.2,0.9367406523397047,0.4280225387554357
Colorado,80184.0,1051023.0,2212898.0,1838986.0,West,Mountain,80.2,0.8310306213842662,0.4749532061577172
Connecticut,83572.0,561567.0,1487891.0,1308541.0,Northeast,New England,80.6,0.8794602561612376,0.37742482480235445
Delaware,72724.0,134252.0,405885.0,339111.0,South,South Atlantic,78.4,0.835485420747256,0.3307636399472757
District of Columbia,93547.0,124285.0,296719.0,296719.0,South,South Atlantic,78.5,1.0,0.4188643126998945
Florida,61777.0,3038293.0,8989580.0,8190007.0,South,South Atlantic,79.6,0.9110555776799361,0.3379794161684973
Georgia,65030.0,1426415.0,4088801.0,3021219.0,South,South Atlantic,77.7,0.7389009638766963,0.34885899313759705
Hawaii,88005.0,226399.0,519508.0,465032.0,West,Pacific,81.6,0.8951392471338266,0.4357950214433656
Idaho,63377.0,231259.0,667796.0,447466.0,West,Mountain,79.6,0.6700639117335234,0.34630186464129764
Illinois,72563.0,1910757.0,5296715.0,4653006.0,Midwest,East North Central,79.3,0.878470146118868,0.3607437817590714
Indiana,61944.0,797977.0,2795541.0,2045946.0,Midwest,East North Central,77.1,0.7318604878268643,0.2854463590410586
Iowa,65429.0,423852.0,1336417.0,848403.0,Midwest,West North Central,79.1,0.6348340375795878,0.3171554986205653
Kentucky,55454.0,461841.0,1927164.0,1117530.0,South,East South Central,75.6,0.5798831858627496,0.23964800089665436
Louisiana,53571.0,511447.0,1964981.0,1435286.0,South,West South Central,76.0,0.7304325079988051,0.2602808882121507
Maine,63182.0,209253.0,721830.0,251161.0,Northeast,New England,78.4,0.34795034841998806,0.28989235692614607
Maryland,91431.0,934036.0,2378814.0,2073112.0,South,South Atlantic,79.0,0.871489742367415,0.39264776481053165
Massachusetts,89026.0,1215939.0,2808254.0,2566340.0,Northeast,New England,80.7,0.9138560828187194,0.4329875431495869
Michigan,63202.0,1287856.0,4532233.0,3256662.0,Midwest,East North Central,78.1,0.718555731799314,0.2841548525859107
Minnesota,77706.0,944751.0,2347201.0,1638077.0,Midwest,West North Central,80.6,0.6978852684537882,0.4025011066372245
Mississippi,49111.0,280355.0,1274719.0,626138.0,South,East South Central,74.5,0.4911968833915553,0.21993474640293273
Missouri,61043.0,789957.0,2712729.0,1881796.0,Midwest,West North Central,77.2,0.6936911132663823,0.2912038025176861
Montana,60560.0,166825.0,482825.0,251958.0,West,Mountain,78.6,0.521841246828561,0.34551856262621033
